"Imported Companies","Enrich LI Company","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Company Headcount Growth","Find most recent news","Find Technology Stack","Find Tech Stack","Tech Stack","Find Open Jobs","Find Open Jobs (1)","Find Active Job Openings via LinkedIn","Job Openings"
,,"Inland Machine Tools - Ball Screws manufacturer","The leader in servicing ball screws, offering reconditioning, manufacturing, repair, and emergency services. We have established ourselves as a prominent manufacturer and supplier of a wide range of precision engineering components including ball screws, lock nuts, checking fixtures, precision bushings, lead screw box nuts and machine tools components. We had started our journey in the industry as a multi-skilled and multifaceted organization-continental engineering corporation in the year 1992 as a manufacturer of precision engineering components.","Mechanical or Industrial Engineering","2-10 employees","Self Employed","Pune, Maharashtra","India","imtballscrew.com","https://www.linkedin.com/company/inland-machine-tools-ball-screws-manufacturer",,,,,,,,,
,,"Antz","Antz is a start-up that is all about data. We work with customers to help build centralized Data Lakes that can be effectively leveraged to provide data driven insights and help adopt to AI

Inspired by the humble Ant and an ant colony, we value strategy and execution based on a strong work ethic and synergistic teamwork. Our 15-member strong team has built proprietary solution frameworks that help clients see measurable value within weeks than months in the areas of:

	Data Engineering 
o	Data lakes, Data Governance
	Artificial Intelligence 
	Data Analytics 
	DevOps & Automation  
	Security 
	IoT 

Our proprietary solution frameworks have helped us:

	Create a centralized Data Lake in cloud (Azure) pilot in 6 weeks. 
	Develop and deploy an IoT application pilot in 6 weeks. 
	Create a Governance and Catalog engine using Azure Purview on a complete Data Ecosystem in 4 weeks. 
	Design, Develop & Deploy Machine Learning models using Azure ML in 6 weeks. 
	Automate manual tasks in 4 weeks using Power Automate. 


We have helped our clients integrate incoming data from numerous sources like Encompass, Blend, Salesforce and many others and SaaS applications through APIs.

We have also successfully closed 10+ projects in the Mortgage Automation, delivering over 1500% return to a US based client.

Antz is currently working on projects in Data management, IoT and Automation,  Environmental sciences, Climate, Retail and Mortgage divisions.

They are planning to shortly have a presence in the US.","Data Infrastructure and Analytics","11-50 employees","Partnership","Hyderabad","India","antz.tk","https://www.linkedin.com/company/antz-ai",,,,,,,,,
,,"Sanflow","We, at Sanflow Enterprise, take immense pleasure to introduce ourselves as the team working closely in manufacturing and supplying a wide range of the PTFE- Teflon Products and Components. We are in this business since 1993 based out of Ahmedabad, Gujarat serving many reputed organisations as clients across.

Sanflow Enterprise has an excellent track record of customer satisfaction. We produce PTFE Sheets, Rods, Bushes, Tubes from 100% pure PTFE as well as from filled grades like Glass, Carbon, Bronze with the raw material used from companies like GFL, India and DuPont, USA. 

We specialise in fabricating all types of components like:
- V- Seals and mechanical seals
- O-Rings and Seat rings
- Gaskets and envelope gaskets
- T- Bushes
- Line Bellows and Valve bellows
- TR, Sight Glass T bushes
- Mechanical shaft seals and bellow seals 
- Balls and tailor-made articles from P.T.F.E.- Teflon
- P.T.F.E./ PVDF/FEP/PFA lining on Pipes, Elbows, Tubes, Ball Valves, Diaphragm Valves, Butterfly Valves etc. We have attached the catalogue for better details, clarity and quick view.

""Quality without Compromise"" is something that we strongly believe and execute, not only in the product but also services to the customers. We believe in keeping the customers happy and providing the best quality products with on-time delivery. Please note that we also specialise in fabricating all types of components from NYLON, UHMW, and DELRIN also.","Mechanical or Industrial Engineering","2-10 employees","Self Owned","Ahmadabad, Gujarat","India","sanflow.com","https://www.linkedin.com/company/sanflow",,,,,,,,,
,,"Jayvir Engineering Corporation","Jayvir Engineering Corporationis noteworthy supplier and service provider of Bending Works, Rolling Works, Hydraulic Press Works. This assortment of products is appreciated for sturdy construction","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/jayvir-engineering-corporation",,,,,,,,,
,,"Engineering Tools & Equipment Company","Engineering Tools & Equipment Company was established in the year 1975. We are leading Manufacturer, Trader and Supplier of Hydraulic Press, Hydraulic Cylinder Jacks, Hydraulic Filters etc. We are aid","Mechanical or Industrial Engineering","51-200 employees",,"Mumbai, Maharashtra","India",,"https://www.linkedin.com/company/engineering-tools-&-equipment-company",,,,,,,,,
,,"M. K. Engineering Work","We are one of the leading Manufacturers of highly qualitative Industrial Fittings. They are highly acclaimed for their dimensional accuracy.","Mechanical or Industrial Engineering","51-200 employees",,"Mumbai, Maharashtra","India","indiamart.com","https://www.linkedin.com/company/m.-k.-engineering-work",,,,,,,,,
,,"JEYSONS INDUSTRIES`","Manufacturer of Industrial Clutches & Brake, Safety Chucks and Other Power Transmission Products. 
Distributor for NORD-LOCK Bolt Securing System, Kamo Seiko, Zero Backlash Rack & Pinion System and Stephen Dynamics Inc, Rotating Cylinders (Pneumatic & Hydraulics)","Mechanical or Industrial Engineering","2-10 employees","Partnership",,"India","jeysons.com","https://www.linkedin.com/company/jeysons-industries-",,,,,,,,,
,,"Analysis Circle Enterprises","Analysis Circle Enterprises, a dynamic hub where marketing operations meet data excellence. As we delve into the intricate realm of data entry, management, and process optimization, our mission is clear  to redefine industry standards. With a keen focus on strategic outsourcing, we're crafting a future where efficiency and innovation converge. Join us on this exciting venture, where every detail counts in shaping success.","Data Infrastructure and Analytics","11-50 employees","Self Employed","Indore, Madhya Pradesh","India","business.site","https://www.linkedin.com/company/analysis-circle-enterprises",,,,,,,,,
,,"Anupam Marketing Private Limited","Anupam Marketing Private Limited is an authorized distributor and trader for SKF Bearings. Worlds leading company for Bearings, Seals, Etc. We cater to all types of Bearings which are imperative elements in all kinds of machines from ceiling fans, and cement churners, to aerospace and defense mechanism equipment. 
We can provide any bearing that is hard to find and supply it to you in no time. Please feel free to contact us for any inquiry related to Bearings.","Mechanical or Industrial Engineering","2-10 employees","Privately Held","Mumbai, Maharashtra","India","amplbearings.com","https://www.linkedin.com/company/anupam-marketing-pvt-ltd",,,,,,,,,
,,"Sumed Engineering","Manufacturer and exporter of varied range of components out of 100% pure and filled grade PTFE material since 1976.","Mechanical or Industrial Engineering","51-200 employees",,"Ahmedabad, Gujarat","India","indiamart.com","https://www.linkedin.com/company/sumed-engineering",,,,,,,,,
,,"B. D. Wire and Allied Industries","B.D.Wire and Allied Industries is engaged into manufacturing of fastener products and specialized wire rods.

we mainly manufacture steel threaded rods, channel nut assembly, long nut, u bolt.

we also specialize in heat treated wire rods and alloy steel wire rods","Mechanical or Industrial Engineering","51-200 employees","Partnership","Ludhiana","India","bdwire.com","https://www.linkedin.com/company/b-d-wire-and-allied-industries",,,,,,,,,
,,"Alphasys 3D Printing Solutions","Alphasys 3D Printing Solutions is the 3D printing company on demand for the customer requirement to make manufacture fast, affordable and scalable products with high quality and low cost. Our company has set out to redefine product creativity for the customer and transform the conceptual idea into a 3D Model which tends to the production line. The raw materials for the products are recycled plastics, the primarily abs, later slowly hips, pc, etc While doing this, it helps to reduce environment pollution and tends to impact on the local market according to supplier request. The primary products are vases and pots frequently produce later going into different products. The company supports creators with design tools and services, access to advanced production technology starting with 3D printing, and services to build a business. There is a range of materials for product development to bring your idea into reality. Our service is accessible for the students(Engineering,  Medical, etc) who wants to build prototype, Commercial and domestic application, either companies or small scale Industries and shop owners(Includes gift shop, toy shop, etc).","Mechanical or Industrial Engineering","2-10 employees","Self Owned","muvattupuzha, kerala","India","alphasys3dprinting.com","https://www.linkedin.com/company/alphasys-3d-printing-solutions",,,,,,,,,
,,"Bangalore lifts and Escalators pvt ltd","We provide all kind of elevator services erection and maintenance","Mechanical or Industrial Engineering","11-50 employees","Partnership","bangalore, karnataka","India",,"https://www.linkedin.com/company/bangalore-lifts-and-escalators-pvt-ltd",,,,,,,,,
,,"Neelanjana Engineering","We are instrumental in manufacturing Factory Godown, Metal Shed and more. We are also providing Shed Work, Truss Work and many more. We deliver these products as well as services within the committed time frame.","Mechanical or Industrial Engineering","11-50 employees",,"Chennai, Tamil Nadu","India","indiamart.com","https://www.linkedin.com/company/neelanjana-engineering",,,,,,,,,
